chromosome_id,WT_1_1,WT_2_1,WT_3_1,HGPS_917_SCR_1,HGPS_478_SCR_1,HGPS_297_SCR_1,HGPS_917_NT_1,HGPS_478_NT_1,HGPS_297_NT_1,WRN_1_NT_1,WRN_2_NT_1,WRN_3_NT_1,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,HGPS_917_L1_ASO_1,HGPS_478_L1_ASO_1,HGPS_297_L1_ASO_1,WRN_1_SCR_1,WRN_2_SCR_1,WRN_3_SCR_1
5,8.51516764236296,8.51516764236296,9.047365620010645,5.854177754124534,5.854177754124534,6.9185737094199045,7.450771687067589,6.9185737094199045,7.450771687067589,7.454739084132055,7.454739084132055,7.454739084132055,7.982969664715274,6.9185737094199045,6.9185737094199045,7.450771687067589,7.982969664715274,7.982969664715274,7.987220447284345,7.987220447284345,7.987220447284345
21,2.109704641350211,2.109704641350211,2.109704641350211,2.109704641350211,2.109704641350211,4.219409282700422,2.109704641350211,2.109704641350211,2.109704641350211,4.219409282700422,4.219409282700422,4.219409282700422,2.109704641350211,2.109704641350211,2.109704641350211,2.109704641350211,2.109704641350211,2.109704641350211,4.219409282700422,4.219409282700422,4.219409282700422
2,6.584043377226956,6.9713400464756,6.9713400464756,5.420054200542006,5.032907471931862,4.645760743321719,6.194347657762292,4.645760743321719,4.645760743321719,3.871467286101432,4.645760743321719,4.645760743321719,5.032907471931862,5.420054200542006,5.420054200542006,7.745933384972889,7.745933384972889,7.358636715724245,5.420054200542006,5.420054200542006,5.807200929152149
9,4.034969737726967,4.034969737726967,4.034969737726967,3.36247478143914,3.36247478143914,3.36247478143914,4.034969737726967,4.034969737726967,3.36247478143914,3.36247478143914,3.36247478143914,3.36247478143914,4.707464694014795,5.379959650302623,4.707464694014795,4.034969737726967,4.034969737726967,4.034969737726967,3.36247478143914,3.36247478143914,4.707464694014795
15,4.415011037527594,4.415011037527594,4.415011037527594,0.7358351729212657,2.943340691685062,2.943340691685062,2.943340691685062,0.7358351729212657,2.943340691685062,2.943340691685062,2.943340691685062,2.943340691685062,2.943340691685062,2.943340691685062,2.943340691685062,2.943340691685062,2.943340691685062,2.207505518763797,4.418262150220913,4.418262150220913,4.418262150220913
14,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,0.7627765064836003,3.051106025934401,2.288329519450801,3.051106025934401
3,7.841328413284133,7.841328413284133,7.841328413284133,4.612546125461255,5.535055350553505,5.535055350553505,4.612546125461255,5.535055350553505,4.612546125461255,5.996309963099631,5.996309963099631,5.996309963099631,4.612546125461255,6.4575645756457565,4.612546125461255,5.996309963099631,5.996309963099631,5.996309963099631,4.612546125461255,5.996309963099631,5.996309963099631
6,1.044932079414838,1.567398119122257,1.567398119122257,3.134796238244514,3.657262277951933,4.179728317659352,3.134796238244514,3.657262277951933,4.179728317659352,2.6123301985370952,2.6123301985370952,2.6123301985370952,1.567398119122257,1.567398119122257,1.567398119122257,0.522466039707419,1.567398119122257,2.089864158829676,3.134796238244514,3.134796238244514,3.134796238244514
22,1.2048192771084338,1.2048192771084338,1.2048192771084338,4.819277108433735,3.614457831325301,4.819277108433735,3.614457831325301,3.614457831325301,3.614457831325301,1.2048192771084338,1.2048192771084338,1.2048192771084338,3.614457831325301,2.409638554216868,2.409638554216868,1.2048192771084338,1.2048192771084338,1.2048192771084338,1.2048192771084338,1.2048192771084338,1.2048192771084338
10,4.5841519318926,5.239030779305828,4.5841519318926,4.5841519318926,5.239030779305828,4.5841519318926,4.5841519318926,5.239030779305828,5.239030779305828,5.239030779305828,5.239030779305828,5.239030779305828,3.2743942370661427,3.2743942370661427,2.619515389652914,4.5841519318926,3.9292730844793713,5.239030779305828,4.5841519318926,4.5841519318926,4.5841519318926
