chromosome_id,101_19YR_F,102_19YR_M,103_19YR_M,104_19YR_M,105_20YR_M,106_20YR_F,14_1YR_M,15_12YR_M,79_1YR_M,80_2YR_F,81_3YR_M,82_3YR_M,83_5YR_M,84_6YR_M,85_7YR_M,86_7YR_M,87_8YR_M,88_8YR_M,89_9YR_F,90_10YR_M,91_10YR_M,92_11YR_F,93_11YR_F,94_12YR_M,95_13YR_M,97_16YR_F,98_17YR_M,99_17YR_M,107_31YR_F,108_31YR_F,109_32YR_M,110_32YR_F,111_33YR_M,112_33YR_M,114_37YR_F,115_37YR_F,117_37YR_M,118_39YR_M,155_22YR_M,156_25YR_F,157_29YR_M,158_24YR_M,159_23YR_M,160_26YR_F,162_21YR_M,16_24YR_F,17_25YR_M,18_25YR_F,19_26YR_M,20_26YR_F,21_28YR_M,22_29YR_M,23_29YR_M,24_30YR_M,25_30YR_F,26_30YR_M,27_30YR_M,120_51YR_M,121_52YR_M,122_55YR_M,123_57YR_M,124_60YR_M,28_43YR_F,29_44YR_M,30_41YR_M,31_47YR_M,32_50YR_F,33_46YR_M,34_50YR_M,35_42YR_F,36_47YR_M,37_41YR_F,38_43YR_M,39_44YR_M,40_45YR_M,41_46YR_M,42_46YR_M,43_47YR_M,125_71YR_F,126_75YR_M,127_78YR_M,128_80YR_F,163_67YR_F,164_67YR_F,165_68YR_M,167_66YR_M,168_68YR_M,169_70YR_M,170_69YR_M,44_61YR_M,45_62YR_F,46_62YR_F,47_63YR_M,48_64YR_M,49_66YR_M,50_67YR_M,51_67YR_M,52_68YR_M,53_68YR_M,54_69YR_M,55_69YR_F,129_94YR_M,130_89YR_M,131_87YR_M,132_90YR_M,133_89YR_M,134_86YR_M,135_92YR_M,136_87YR_M,166_82YR_F,56_83YR_M,57_83YR_M,58_83YR_M,59_84YR_F,60_84YR_M,61_84YR_F,62_84YR_M,63_84YR_M,64_84YR_M,65_84YR_M,66_86YR_M,67_86YR_M,68_86YR_M,69_87YR_F,70_87YR_M,71_87YR_M,72_87YR_M,73_88YR_M,74_89YR_M,75_90YR_M,76_91YR_M,77_92YR_F,78_96YR_M
11,6.125574272588056,6.125574272588056,6.125574272588056,5.359877488514548,5.359877488514548,6.125574272588056,5.359877488514548,5.359877488514548,6.125574272588056,6.125574272588056,6.125574272588056,6.125574272588056,6.891271056661562,6.125574272588056,4.594180704441041,6.125574272588056,5.359877488514548,6.125574272588056,6.125574272588056,6.125574272588056,5.359877488514548,6.125574272588056,6.125574272588056,6.125574272588056,6.125574272588056,5.359877488514548,5.359877488514548,6.125574272588056,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,3.062787136294028,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,3.062787136294028,3.062787136294028,5.359877488514548,7.656967840735069,7.656967840735069,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,5.359877488514548,7.656967840735069,5.359877488514548,5.359877488514548,3.819709702062643,3.819709702062643,3.819709702062643,7.639419404125286,3.819709702062643,6.111535523300229,3.819709702062643,3.819709702062643,3.819709702062643,3.819709702062643,3.819709702062643,3.819709702062643,6.875477463712758,3.819709702062643,3.819709702062643,3.819709702062643,3.819709702062643,3.0557677616501144,3.819709702062643,3.819709702062643,6.875477463712758,3.058103975535168,5.351681957186544,3.058103975535168,3.058103975535168,3.058103975535168,3.058103975535168,5.351681957186544,4.587155963302752,3.058103975535168,4.587155963302752,5.351681957186544,5.351681957186544,5.351681957186544,5.351681957186544,5.351681957186544,3.058103975535168,3.058103975535168,5.351681957186544,5.351681957186544,5.351681957186544,5.351681957186544,3.058103975535168,6.8807339449541285,3.06044376434583,3.06044376434583,5.355776587605202,3.06044376434583,5.355776587605202,3.06044376434583,4.590665646518746,3.06044376434583,5.355776587605202,5.355776587605202,5.355776587605202,5.355776587605202,5.355776587605202,5.355776587605202,5.355776587605202,5.355776587605202,3.06044376434583,5.355776587605202,5.355776587605202,3.06044376434583,3.06044376434583,3.06044376434583,3.06044376434583,3.06044376434583,3.06044376434583,3.06044376434583,3.825554705432288,3.06044376434583,5.355776587605202,3.06044376434583,3.06044376434583,5.355776587605202
21,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.787878787878788,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771,3.816793893129771
10,11.061946902654867,9.95575221238938,11.061946902654867,9.95575221238938,11.061946902654867,12.168141592920351,7.743362831858407,11.061946902654867,11.061946902654867,9.95575221238938,11.061946902654867,12.168141592920351,11.061946902654867,11.061946902654867,12.168141592920351,11.061946902654867,12.168141592920351,12.168141592920351,12.168141592920351,9.95575221238938,12.168141592920351,12.168141592920351,11.061946902654867,9.95575221238938,11.061946902654867,9.95575221238938,11.061946902654867,12.168141592920351,8.849557522123893,12.168141592920351,11.061946902654867,8.849557522123893,11.061946902654867,8.849557522123893,8.849557522123893,8.849557522123893,8.849557522123893,11.061946902654867,8.849557522123893,9.95575221238938,11.061946902654867,8.849557522123893,11.061946902654867,12.168141592920351,11.061946902654867,7.743362831858407,8.849557522123893,8.849557522123893,9.95575221238938,9.95575221238938,8.849557522123893,8.849557522123893,12.168141592920351,8.849557522123893,9.95575221238938,9.95575221238938,9.95575221238938,8.830022075055188,8.830022075055188,9.933774834437086,8.830022075055188,8.830022075055188,8.830022075055188,8.830022075055188,9.933774834437086,8.830022075055188,9.933774834437086,8.830022075055188,8.830022075055188,8.830022075055188,9.933774834437086,8.830022075055188,11.037527593818984,9.933774834437086,8.830022075055188,8.830022075055188,8.830022075055188,6.622516556291391,11.061946902654867,11.061946902654867,11.061946902654867,11.061946902654867,12.168141592920351,12.168141592920351,11.061946902654867,11.061946902654867,14.380530973451329,14.380530973451329,11.061946902654867,9.95575221238938,11.061946902654867,11.061946902654867,11.061946902654867,11.061946902654867,11.061946902654867,11.061946902654867,14.380530973451329,11.061946902654867,11.061946902654867,11.061946902654867,14.380530973451329,13.27433628318584,13.27433628318584,14.380530973451329,14.380530973451329,13.27433628318584,14.380530973451329,14.380530973451329,14.380530973451329,13.27433628318584,13.27433628318584,12.168141592920351,12.168141592920351,13.27433628318584,12.168141592920351,12.168141592920351,12.168141592920351,12.168141592920351,13.27433628318584,13.27433628318584,13.27433628318584,13.27433628318584,13.27433628318584,11.061946902654867,11.061946902654867,11.061946902654867,12.168141592920351,14.380530973451329,13.27433628318584,14.380530973451329,11.061946902654867,13.27433628318584,11.061946902654867
19,3.91644908616188,3.91644908616188,3.91644908616188,3.91644908616188,1.3054830287206267,3.91644908616188,3.91644908616188,3.91644908616188,3.91644908616188,3.91644908616188,3.91644908616188,1.3054830287206267,3.91644908616188,3.91644908616188,3.91644908616188,2.610966057441253,3.2637075718015667,5.87467362924282,3.91644908616188,2.610966057441253,3.91644908616188,3.91644908616188,3.91644908616188,1.3054830287206267,3.91644908616188,3.91644908616188,3.91644908616188,3.91644908616188,2.610966057441253,3.2637075718015667,1.3054830287206267,1.3054830287206267,3.2637075718015667,1.3054830287206267,3.2637075718015667,2.610966057441253,2.610966057441253,2.610966057441253,2.610966057441253,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,1.3054830287206267,3.2637075718015667,1.3054830287206267,3.2637075718015667,2.610966057441253,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,2.610966057441253,2.610966057441253,3.2637075718015667,3.2637075718015667,4.569190600522194,5.221932114882507,3.2637075718015667,5.221932114882507,4.569190600522194,5.221932114882507,5.221932114882507,5.221932114882507,5.221932114882507,5.221932114882507,5.221932114882507,5.221932114882507,5.221932114882507,5.221932114882507,4.569190600522194,5.221932114882507,5.221932114882507,5.221932114882507,4.569190600522194,4.569190600522194,5.221932114882507,6.527415143603133,5.87467362924282,5.87467362924282,3.91644908616188,6.527415143603133,5.87467362924282,4.569190600522194,4.569190600522194,6.527415143603133,4.569190600522194,4.569190600522194,5.87467362924282,5.221932114882507,5.87467362924282,3.91644908616188,3.91644908616188,4.569190600522194,4.569190600522194,5.221932114882507,6.527415143603133,4.569190600522194,3.91644908616188,5.87467362924282,1.95822454308094,1.3054830287206267,2.610966057441253,2.610966057441253,2.610966057441253,2.610966057441253,2.610966057441253,2.610966057441253,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,3.2637075718015667,2.610966057441253,2.610966057441253,1.95822454308094,1.95822454308094,3.2637075718015667,3.2637075718015667,3.2637075718015667,1.95822454308094,1.95822454308094,2.610966057441253,2.610966057441253
12,4.201680672268908,4.201680672268908,3.361344537815126,5.042016806722689,4.201680672268908,5.042016806722689,5.042016806722689,5.042016806722689,5.042016806722689,4.201680672268908,4.201680672268908,5.042016806722689,5.042016806722689,4.201680672268908,5.042016806722689,5.042016806722689,5.042016806722689,5.042016806722689,5.042016806722689,5.042016806722689,4.201680672268908,5.042016806722689,4.201680672268908,4.201680672268908,5.042016806722689,4.201680672268908,5.042016806722689,5.042016806722689,5.882352941176471,7.563025210084033,5.882352941176471,5.882352941176471,5.882352941176471,5.042016806722689,4.201680672268908,5.882352941176471,5.882352941176471,4.201680672268908,5.882352941176471,5.882352941176471,4.201680672268908,5.882352941176471,4.201680672268908,4.201680672268908,4.201680672268908,4.201680672268908,5.882352941176471,5.882352941176471,5.882352941176471,4.201680672268908,4.201680672268908,5.042016806722689,4.201680672268908,5.882352941176471,5.882352941176471,5.882352941176471,4.201680672268908,5.882352941176471,7.563025210084033,6.722689075630252,7.563025210084033,5.882352941176471,6.722689075630252,6.722689075630252,6.722689075630252,7.563025210084033,6.722689075630252,7.563025210084033,7.563025210084033,7.563025210084033,7.563025210084033,6.722689075630252,4.201680672268908,6.722689075630252,6.722689075630252,6.722689075630252,6.722689075630252,6.722689075630252,7.563025210084033,7.563025210084033,7.563025210084033,7.563025210084033,6.722689075630252,6.722689075630252,7.563025210084033,7.563025210084033,6.722689075630252,7.563025210084033,7.563025210084033,6.722689075630252,7.563025210084033,7.563025210084033,6.722689075630252,7.563025210084033,7.563025210084033,7.563025210084033,7.563025210084033,7.563025210084033,7.563025210084033,7.563025210084033,6.722689075630252,6.72834314550042,6.72834314550042,6.72834314550042,6.72834314550042,6.72834314550042,5.887300252312868,6.72834314550042,6.72834314550042,6.72834314550042,6.72834314550042,5.887300252312868,6.72834314550042,6.72834314550042,6.72834314550042,6.72834314550042,6.72834314550042,6.72834314550042,6.72834314550042,6.72834314550042,5.046257359125315,5.887300252312868,5.887300252312868,5.046257359125315,5.046257359125315,5.046257359125315,5.887300252312868,6.72834314550042,5.887300252312868,5.887300252312868,7.569386038687973,3.36417157275021,5.887300252312868
1,6.834686031610423,8.543357539513028,6.834686031610423,8.543357539513028,8.543357539513028,8.543357539513028,8.543357539513028,8.543357539513028,6.834686031610423,7.689021785561725,6.834686031610423,6.834686031610423,7.261853908586074,6.834686031610423,6.834686031610423,8.543357539513028,8.543357539513028,8.543357539513028,6.834686031610423,8.543357539513028,6.834686031610423,8.543357539513028,8.543357539513028,8.543357539513028,6.834686031610423,8.543357539513028,6.834686031610423,6.834686031610423,5.121638924455826,5.548442168160478,4.694835680751174,5.975245411865131,5.121638924455826,5.548442168160478,5.548442168160478,5.975245411865131,5.975245411865131,6.402048655569782,4.694835680751174,5.975245411865131,5.548442168160478,5.548442168160478,5.548442168160478,5.121638924455826,5.548442168160478,4.2680324370465215,4.694835680751174,5.121638924455826,6.828851899274435,4.694835680751174,5.975245411865131,5.548442168160478,6.402048655569782,5.548442168160478,5.548442168160478,5.548442168160478,5.548442168160478,7.682458386683739,6.402048655569782,8.536064874093043,8.10926163038839,8.536064874093043,8.10926163038839,8.536064874093043,8.536064874093043,8.10926163038839,8.536064874093043,8.536064874093043,6.402048655569782,8.536064874093043,8.10926163038839,8.536064874093043,7.682458386683739,6.402048655569782,6.402048655569782,8.536064874093043,6.402048655569782,6.402048655569782,8.536064874093043,6.828851899274435,8.536064874093043,5.548442168160478,6.828851899274435,7.255655142979086,7.682458386683739,5.975245411865131,7.255655142979086,8.536064874093043,7.682458386683739,7.682458386683739,6.402048655569782,6.402048655569782,6.402048655569782,8.536064874093043,6.402048655569782,5.975245411865131,7.682458386683739,7.255655142979086,5.975245411865131,8.10926163038839,7.682458386683739,10.252029047415634,9.824861170439982,10.679196924391286,9.397693293464332,10.252029047415634,10.252029047415634,10.252029047415634,10.679196924391286,7.261853908586074,8.116189662537376,9.824861170439982,9.824861170439982,8.116189662537376,9.824861170439982,7.689021785561725,7.689021785561725,7.689021785561725,9.824861170439982,7.261853908586074,10.679196924391286,9.397693293464332,10.252029047415634,10.679196924391286,9.397693293464332,10.679196924391286,9.824861170439982,8.116189662537376,10.252029047415634,9.397693293464332,10.252029047415634,9.397693293464332,10.679196924391286
14,8.130081300813009,8.130081300813009,8.130081300813009,8.130081300813009,6.775067750677507,6.775067750677507,9.48509485094851,8.130081300813009,8.130081300813009,6.775067750677507,6.775067750677507,8.130081300813009,8.130081300813009,6.775067750677507,8.130081300813009,8.130081300813009,6.775067750677507,8.130081300813009,8.130081300813009,8.130081300813009,8.130081300813009,8.130081300813009,8.130081300813009,6.775067750677507,8.130081300813009,6.775067750677507,8.130081300813009,8.130081300813009,6.775067750677507,9.48509485094851,8.130081300813009,8.130081300813009,9.48509485094851,6.775067750677507,9.48509485094851,9.48509485094851,6.775067750677507,9.48509485094851,9.48509485094851,9.48509485094851,9.48509485094851,10.840108401084011,10.840108401084011,8.130081300813009,10.840108401084011,8.130081300813009,9.48509485094851,9.48509485094851,10.840108401084011,8.130081300813009,13.550135501355014,9.48509485094851,10.840108401084011,9.48509485094851,9.48509485094851,8.130081300813009,8.130081300813009,10.840108401084011,8.130081300813009,10.840108401084011,10.840108401084011,8.130081300813009,10.840108401084011,10.840108401084011,12.195121951219512,13.550135501355014,8.130081300813009,12.195121951219512,8.130081300813009,6.775067750677507,10.840108401084011,10.840108401084011,10.840108401084011,9.48509485094851,10.840108401084011,13.550135501355014,9.48509485094851,12.195121951219512,9.48509485094851,10.840108401084011,9.48509485094851,8.130081300813009,9.48509485094851,10.840108401084011,10.840108401084011,13.550135501355014,9.48509485094851,9.48509485094851,9.48509485094851,9.48509485094851,9.48509485094851,9.48509485094851,13.550135501355014,10.840108401084011,9.48509485094851,10.840108401084011,9.48509485094851,6.775067750677507,9.48509485094851,12.195121951219512,8.130081300813009,12.195121951219512,12.195121951219512,10.840108401084011,12.195121951219512,6.775067750677507,10.840108401084011,10.840108401084011,6.775067750677507,9.48509485094851,9.48509485094851,9.48509485094851,9.48509485094851,8.130081300813009,8.130081300813009,9.48509485094851,9.48509485094851,8.130081300813009,6.775067750677507,8.130081300813009,12.195121951219512,6.775067750677507,12.195121951219512,5.420054200542006,10.840108401084011,5.420054200542006,6.775067750677507,9.48509485094851,10.840108401084011,6.775067750677507,6.775067750677507,12.195121951219512,9.48509485094851
5,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,11.225444340505144,12.16089803554724,11.225444340505144,12.16089803554724,11.225444340505144,11.225444340505144,12.16089803554724,11.225444340505144,12.16089803554724,11.225444340505144,11.225444340505144,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,11.225444340505144,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,11.225444340505144,12.16089803554724,11.225444340505144,11.225444340505144,11.225444340505144,12.16089803554724,12.16089803554724,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,11.225444340505144,12.16089803554724,12.16089803554724,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,11.225444340505144,13.096351730589337,12.16089803554724,13.096351730589337,15.902712815715622,14.03180542563143,12.16089803554724,13.096351730589337,14.03180542563143,12.16089803554724,13.096351730589337,14.03180542563143,11.225444340505144,11.225444340505144,12.16089803554724,12.16089803554724,11.225444340505144,11.225444340505144,11.225444340505144,12.16089803554724,11.225444340505144,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,14.03180542563143,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,14.967259120673528,11.225444340505144,12.16089803554724,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,11.225444340505144,12.16089803554724,12.16089803554724,12.16089803554724,12.16089803554724,14.03180542563143,14.03180542563143,14.03180542563143,14.03180542563143,14.03180542563143,14.03180542563143,14.03180542563143,14.03180542563143,10.28999064546305,10.28999064546305,14.03180542563143,10.28999064546305,10.28999064546305,10.28999064546305,10.28999064546305,14.03180542563143,10.28999064546305,10.28999064546305,10.28999064546305,10.28999064546305,14.967259120673528,10.28999064546305,12.16089803554724,10.28999064546305,10.28999064546305,10.28999064546305,10.28999064546305,10.28999064546305,14.967259120673528,12.16089803554724,14.967259120673528,10.28999064546305
18,9.036144578313252,15.060240963855422,9.036144578313252,9.036144578313252,9.036144578313252,15.060240963855422,9.036144578313252,15.060240963855422,9.036144578313252,9.036144578313252,9.036144578313252,9.036144578313252,9.036144578313252,9.036144578313252,9.036144578313252,9.036144578313252,15.060240963855422,9.036144578313252,15.060240963855422,9.036144578313252,9.036144578313252,9.036144578313252,15.060240963855422,9.036144578313252,9.036144578313252,9.036144578313252,9.036144578313252,9.036144578313252,9.036144578313252,15.060240963855422,21.08433734939759,18.072289156626507,24.09638554216868,9.036144578313252,9.036144578313252,9.036144578313252,18.072289156626507,15.060240963855422,15.060240963855422,9.036144578313252,21.08433734939759,21.08433734939759,21.08433734939759,18.072289156626507,9.036144578313252,9.036144578313252,15.060240963855422,21.08433734939759,21.08433734939759,9.036144578313252,18.072289156626507,9.036144578313252,9.036144578313252,18.072289156626507,9.036144578313252,21.08433734939759,24.09638554216868,21.02102102102102,9.00900900900901,18.01801801801802,18.01801801801802,21.02102102102102,18.01801801801802,18.01801801801802,18.01801801801802,15.015015015015017,18.01801801801802,18.01801801801802,21.02102102102102,18.01801801801802,12.012012012012011,15.015015015015017,9.00900900900901,9.00900900900901,9.00900900900901,18.01801801801802,18.01801801801802,9.00900900900901,15.015015015015017,9.00900900900901,18.01801801801802,21.02102102102102,18.01801801801802,18.01801801801802,18.01801801801802,18.01801801801802,15.015015015015017,12.012012012012011,9.00900900900901,18.01801801801802,15.015015015015017,9.00900900900901,9.00900900900901,18.01801801801802,21.02102102102102,9.00900900900901,9.00900900900901,18.01801801801802,9.00900900900901,18.01801801801802,15.015015015015017,12.048192771084338,12.048192771084338,15.060240963855422,15.060240963855422,15.060240963855422,15.060240963855422,21.08433734939759,18.072289156626507,15.060240963855422,15.060240963855422,15.060240963855422,18.072289156626507,15.060240963855422,15.060240963855422,15.060240963855422,12.048192771084338,15.060240963855422,15.060240963855422,18.072289156626507,6.024096385542169,21.08433734939759,12.048192771084338,21.08433734939759,21.08433734939759,21.08433734939759,12.048192771084338,15.060240963855422,21.08433734939759,18.072289156626507,12.048192771084338,6.024096385542169,18.072289156626507
X,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,2.4630541871921183,1.2315270935960592,1.2315270935960592,1.2315270935960592,2.4630541871921183,2.4630541871921183,1.2315270935960592,2.4630541871921183,1.2315270935960592,1.2315270935960592,2.4630541871921183,1.2315270935960592,2.4630541871921183,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,2.4630541871921183,1.2315270935960592,1.2315270935960592,1.2315270935960592,2.4630541871921183,1.2315270935960592,2.4630541871921183,1.2315270935960592,1.2315270935960592,1.2315270935960592,1.2315270935960592,4.926108374384237,4.926108374384237,7.389162561576355,2.4630541871921183,4.926108374384237,3.6945812807881775,6.157635467980295,3.6945812807881775,3.6945812807881775,6.157635467980295,3.6945812807881775,2.4630541871921183,4.926108374384237,6.157635467980295,4.926108374384237,4.926108374384237,8.620689655172415,6.157635467980295,4.926108374384237,6.157635467980295,8.620689655172415,4.926108374384237,4.926108374384237,4.926108374384237,3.6945812807881775,6.157635467980295,4.926108374384237,4.926108374384237,6.157635467980295,3.6945812807881775,4.926108374384237,4.926108374384237,4.926108374384237,6.157635467980295,4.926108374384237,7.389162561576355,4.926108374384237,3.6945812807881775,4.926108374384237,4.926108374384237,7.389162561576355,4.926108374384237,3.6945812807881775,6.157635467980295,6.165228113440198,6.165228113440198,6.165228113440198,3.699136868064119,7.398273736128237,6.165228113440198,6.165228113440198,6.165228113440198,6.165228113440198,6.165228113440198,6.165228113440198,6.165228113440198,6.165228113440198,6.165228113440198,6.165228113440198,8.631319358816276,6.165228113440198,8.631319358816276,6.165228113440198,4.932182490752158,6.165228113440198,6.165228113440198,7.398273736128237,6.165228113440198,7.398273736128237,6.165228113440198,7.398273736128237,7.398273736128237,7.398273736128237,6.165228113440198,7.398273736128237,6.165228113440198
