Chromosome,N_genes
9,1487
7,1820
1,3613
6,1914
8,1417
12,2063
15,1359
22,830
14,1312
13,824
3,2168
X,1282
4,1579
5,1879
Y,70
2,2583
16,1643
11,1997
18,734
20,928
21,474
19,2082
10,1527
17,2063
